2024-05-12 23:03:INFO:Epoch 73, Loss: 0.3822, Accuracy: 82.68%
2024-05-12 23:03:INFO:Epoch 74, Loss: 0.3819, Accuracy: 82.68%
2024-05-12 23:03:INFO:Epoch 75, Loss: 0.3817, Accuracy: 82.68%
2024-05-12 23:03:INFO:Epoch 76, Loss: 0.3814, Accuracy: 82.68%
2024-05-12 23:03:INFO:Epoch 77, Loss: 0.3812, Accuracy: 82.68%
2024-05-12 23:03:INFO:Epoch 78, Loss: 0.3809, Accuracy: 82.12%
2024-05-12 23:03:INFO:Epoch 79, Loss: 0.3807, Accuracy: 82.12%
2024-05-12 23:03:INFO:Epoch 80, Loss: 0.3804, Accuracy: 82.12%
2024-05-12 23:03:INFO:Epoch 81, Loss: 0.3802, Accuracy: 82.12%
2024-05-12 23:03:INFO:Epoch 82, Loss: 0.3799, Accuracy: 82.12%
2024-05-12 23:03:INFO:Epoch 83, Loss: 0.3797, Accuracy: 82.12%
2024-05-12 23:03:INFO:Epoch 84, Loss: 0.3795, Accuracy: 82.12%
2024-05-12 23:03:INFO:Epoch 85, Loss: 0.3793, Accuracy: 82.12%
2024-05-12 23:03:INFO:Epoch 86, Loss: 0.3790, Accuracy: 82.12%
2024-05-12 23:03:INFO:Epoch 87, Loss: 0.3788, Accuracy: 82.12%
2024-05-12 23:03:INFO:Epoch 88, Loss: 0.3786, Accuracy: 82.12%
2024-05-12 23:03:INFO:Epoch 89, Loss: 0.3784, Accuracy: 82.12%
2024-05-12 23:03:INFO:Epoch 90, Loss: 0.3781, Accuracy: 82.12%
2024-05-12 23:03:INFO:Epoch 91, Loss: 0.3779, Accuracy: 82.12%
2024-05-12 23:03:INFO:Epoch 92, Loss: 0.3777, Accuracy: 81.56%
2024-05-12 23:03:INFO:Epoch 93, Loss: 0.3775, Accuracy: 81.56%
2024-05-12 23:03:INFO:Epoch 94, Loss: 0.3773, Accuracy: 81.01%
2024-05-12 23:03:INFO:Epoch 95, Loss: 0.3771, Accuracy: 81.01%
2024-05-12 23:03:INFO:Epoch 96, Loss: 0.3769, Accuracy: 81.01%
2024-05-12 23:03:INFO:Epoch 97, Loss: 0.3768, Accuracy: 81.01%
2024-05-12 23:03:INFO:Epoch 98, Loss: 0.3766, Accuracy: 81.01%
2024-05-12 23:03:INFO:Epoch 99, Loss: 0.3764, Accuracy: 81.01%
2024-05-12 23:03:INFO:Epoch 100, Loss: 0.3762, Accuracy: 81.01%
